Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
Business Administration,Male,4.17,4.84,"Low (Below 15,000)",Village,3,More than 3 Hours,0-1 Hour,80%-100%,No,3,Yes,6th,3.22,3.35
Business Administration,Female,4.92,5,"Upper middle (30,000-50,000)",City,3,0-1 Hour,0-1 Hour,80%-100%,No,3,Yes,7th,3.467,3.467
Business Administration,Male,5,4.83,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,80%-100%,No,4,Yes,3rd,4,3.72
Business Administration,Male,4,4.5,"High (Above 50,000)",City,5,More than 3 Hours,More than 3 Hours,80%-100%,No,5,Yes,4th,3.8,3.75
Business Administration,Female,2.19,3.17,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,2-3 Hours,80%-100%,No,3,Yes,4th,3.94,3.94
Computer Science and Engineering,Male,4.75,4.05,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1,1
Computer Science and Engineering,Male,4.42,5,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.06,1.06
Computer Science and Engineering,Male,4.5,4.81,"Upper middle (30,000-50,000)",City,3,2-3 Hours,More than 3 Hours,80%-100%,No,4,Yes,11th,2.95,1.25
Computer Science and Engineering,Male,3.32,4.5,"Low (Below 15,000) ",City,4,0-1 Hour,More than 3 Hours,Below 40%,No,3,Yes,5th,1.42,1.44
Computer Science and Engineering,Female,3.33,4.95,"Lower middle (15,000-30,000) ",City,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.5,1.5
Computer Science and Engineering,Male,4.17,5,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.56,1.56
Computer Science and Engineering,Male,3.58,4.56,"Upper middle (30,000-50,000)",Village,4,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,9th,1.57,1.57
Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,Yes,8th,1.57,1.57
Computer Science and Engineering,Male,4.5,4.75,"Upper middle (30,000-50,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,8th,1,1.6
Computer Science and Engineering,Male,3.83,5,"Low (Below 15,000)",Village,2,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.62,1.62
Computer Science and Engineering,Male,4.33,4.64,"Lower middle (15,000-30,000) ",City,5,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.69,1.69
Computer Science and Engineering,Female,4.51,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,Yes,8th,1.83,1.71
Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.69,1.72
Computer Science and Engineering,Male,3.92,4.72,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,5th,1.33,1.75
Computer Science and Engineering,Male,3.92,5,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,2,Yes,2nd,1.75,1.75
Computer Science and Engineering,Male,4.08,5,"Low (Below 15,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.25,1.75
Computer Science and Engineering,Male,3.67,4.86,"Lower middle (15,000-30,000)",City,2,0-1 Hour,0-1 Hour,80%-100%,No,3,Yes,3rd,1.79,1.8
Computer Science and Engineering,Male,4,5,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.63,1.86
Computer Science and Engineering,Male,3.75,4.73,"Upper middle (30,000-50,000)",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,2nd,1.88,1.88
Computer Science and Engineering,Male,3.5,5,"Upper middle (30,000-50,000)",City,1,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,5th,1.89,1.89
Computer Science and Engineering,Male,4.2,5,"Upper middle (30,000-50,000)",City,4,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,9th,1.45,1.9
Computer Science and Engineering,Female,4.58,4.94,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,5th,1.33,1.9
Computer Science and Engineering,Male,3,4.06,"Low (Below 15,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,1.92,1.92
Computer Science and Engineering,Male,4.17,5,"Lower middle (15,000-30,000)",City,3,2-3 Hours,More than 3 Hours,60%-79%,No,3,No,2nd,2.06,1.97
Computer Science and Engineering,Male,4.42,5,"Lower middle (15,000-30,000)",City,3,0-1 Hour,0-1 Hour,60%-79%,No,2,No,11th,2.33,2
Computer Science and Engineering,Male,4,4.78,"Low (Below 15,000)",Village,3,2-3 Hours,More than 3 Hours,60%-79%,No,4,Yes,8th,2.16,2
Computer Science and Engineering,Male,4.5,4.75,"Low (Below 15,000) ",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,5th,1.5,2.02
Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,8th,1.64,2.1
Computer Science and Engineering,Male,3.5,4.78,"High (Above 50,000)",Village,2,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,5th,1.33,2.1
Computer Science and Engineering,Male,3.82,5,"Lower middle (15,000-30,000)",City,4,2-3 Hours,More than 3 Hours,60%-79%,No,4,No,3rd,2.5,2.1
Computer Science and Engineering,Male,4.5,5,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,Yes,4,No,10th,2.23,2.17
Computer Science and Engineering,Female,4.58,3.96,"Upper middle (30,000-50,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,8th,2.11,2.17
Computer Science and Engineering,Male,3.23,4.33,"Low (Below 15,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.17,2.17
Computer Science and Engineering,Male,2.17,4.33,"Upper middle (30,000-50,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.08,2.17
Computer Science and Engineering,Male,3.67,4.28,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,5th,1.94,2.2
Computer Science and Engineering,Male,3.8,4.94,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,9th,2,2.22
Computer Science and Engineering,Male,3.25,4.94,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,9th,2.25,2.25
Computer Science and Engineering,Female,4.5,4.75,"High (Above 50,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,4,Yes,7th,2.25,2.25
Computer Science and Engineering,Male,4,4.72,"Upper middle (30,000-50,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.25,2.25
Computer Science and Engineering,Male,3.42,4.78,"Lower middle (15,000-30,000)",Village,2,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.25,2.25
Computer Science and Engineering,Male,4,5,"High (Above 50,000)",Village,2,2-3 Hours,More than 3 Hours,60%-79%,No,3,Yes,2nd,2.31,2.28
Computer Science and Engineering,Male,3.33,4.19,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,9th,2.3,2.3
Computer Science and Engineering,Male,4.25,4.38,"High (Above 50,000) ",City,3,2-3 Hours,More than 3 Hours,60%-79%,No,4,Yes,7th,2.25,2.3
Computer Science and Engineering,Male,3.75,5,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,3,No,2nd,2.31,2.31
Computer Science and Engineering,Female,3.58,5,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.31,2.31
Computer Science and Engineering,Male,4.25,5,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.31,2.31
Computer Science and Engineering,Female,4.5,4.75,"Upper middle (30,000-50,000)",Village,1,More than 3 Hours,More than 3 Hours,60%-79%,No,3,No,5th,2.44,2.33
Computer Science and Engineering,Female,3.83,4.94,"High (Above 50,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,5th,2.33,2.33
Computer Science and Engineering,Male,3.08,4.22,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.33,2.33
Computer Science and Engineering,Male,3.67,4.91,"Upper middle (30,000-50,000)",City,2,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.33,2.33
Computer Science and Engineering,Male,5,4.75,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,Yes,4,No,9th,2.39,2.35
Computer Science and Engineering,Male,4.56,4.82,"Lower middle (15,000-30,000)",Village,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,Yes,8th,2.35,2.35
Computer Science and Engineering,Male,5,4.72,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,5,Yes,6th,2.35,2.35
Computer Science and Engineering,Male,3.92,5,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.38,2.38
Computer Science and Engineering,Male,4.42,4.32,"Upper middle (30,000-50,000)",Village,2,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.38,2.38
Computer Science and Engineering,Female,3.42,4.14,"High (Above 50,000)",City,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.38,2.38
Computer Science and Engineering,Female,4,5,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.38,2.38
Computer Science and Engineering,Female,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,2,No,10th,2.41,2.41
Computer Science and Engineering,Male,4.17,4.82,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.44,2.44
Computer Science and Engineering,Male,4,5,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,3,No,2nd,2.44,2.44
Computer Science and Engineering,Male,4.86,5,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,80%-100%,Yes,3,No,11th,2.35,2.45
Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,3,No,3rd,2.25,2.45
Computer Science and Engineering,Male,3.63,4.91,"Lower middle (15,000-30,000)",City,5,2-3 Hours,More than 3 Hours,60%-79%,No,4,No,3rd,2.58,2.47
Computer Science and Engineering,Male,2.25,4.28,"Low (Below 15,000)",City,5,2-3 Hours,0-1 Hour,80%-100%,Yes,5,Yes,11th,3,2.5
Computer Science and Engineering,Male,2.92,4.75,"Lower middle (15,000-30,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,Yes,4,No,8th,2.73,2.5
Computer Science and Engineering,Male,4.33,5,"High (Above 50,000) ",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.5,2.5
Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,3,Yes,10th,2.83,2.53
Computer Science and Engineering,Male,5,4.78,"High (Above 50,000)",City,3,0-1 Hour,2-3 Hours,80%-100%,No,3,Yes,4th,2.24,2.55
Computer Science and Engineering,Female,3.16,4.19,"Upper middle (30,000-50,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,Yes,4,No,5th,2.75,2.55
Computer Science and Engineering,Male,4.67,5,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.56,2.56
Computer Science and Engineering,Male,3.67,4.82,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.56,2.56
Computer Science and Engineering,Male,3.75,4.11,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.56,2.56
Computer Science and Engineering,Male,4.5,3.61,"Low (Below 15,000)",Village,4,More than 3 Hours,More than 3 Hours,80%-100%,No,4,Yes,2nd,3,2.58
Computer Science and Engineering,Male,2.94,4.39,"High (Above 50,000) ",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.64,2.64
Computer Science and Engineering,Male,3.59,5,"Low (Below 15,000)",Village,2,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.69,2.69
Computer Science and Engineering,Male,3,4.33,"High (Above 50,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.69,2.69
Computer Science and Engineering,Male,3.67,5,"Lower middle (15,000-30,000) ",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.69,2.69
Computer Science and Engineering,Male,4.08,5,"High (Above 50,000) ",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.69,2.69
Computer Science and Engineering,Male,4.33,5,"Low (Below 15,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.88,2.7
Computer Science and Engineering,Male,5,5,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,60%-79%,Yes,4,No,9th,2.83,2.7
Computer Science and Engineering,Male,3.92,5,"Upper middle (30,000-50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,3rd,2.83,2.7
Computer Science and Engineering,Female,5,5,"Lower middle (15,000-30,000)",Village,3,More than 3 Hours,More than 3 Hours,80%-100%,Yes,3,Yes,4th,2.41,2.75
Computer Science and Engineering,Male,5,5,"Lower middle (15,000-30,000)",City,3,2-3 Hours,2-3 Hours,80%-100%,Yes,3,Yes,4th,2.35,2.75
Computer Science and Engineering,Male,3.92,5,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,80%-100%,No,3,Yes,10th,2.89,2.75
Computer Science and Engineering,Male,4.3,4.75,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.88,2.75
Computer Science and Engineering,Female,4,5,"High (Above 50,000) ",City,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.75,2.75
Computer Science and Engineering,Male,4,4.13,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.82,2.75
Computer Science and Engineering,Male,4.95,5,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.88,2.75
Computer Science and Engineering,Male,4.44,4.38,"Upper middle (30,000-50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,9th,2.81,2.75
Computer Science and Engineering,Male,3.75,5,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.84,2.75
Computer Science and Engineering,Male,3.58,4.61,"Low (Below 15,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.81,2.75
Computer Science and Engineering,Female,4,4.89,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.79,2.75
Computer Science and Engineering,Female,4.67,5,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.83,2.75
Computer Science and Engineering,Female,4.5,4.5,"Upper middle (30,000-50,000)",City,1,0-1 Hour,More than 3 Hours,60%-79%,Yes,4,No,8th,2.76,2.75
Computer Science and Engineering,Male,4.25,4.94,"Low (Below 15,000) ",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,8th,2.84,2.75
Computer Science and Engineering,Male,4,4.5,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,7th,2.75,2.75
Computer Science and Engineering,Female,3.25,4.17,"Lower middle (15,000-30,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,6th,2.88,2.75
Computer Science and Engineering,Male,2.67,4.11,"Upper middle (30,000-50,000)",Village,5,0-1 Hour,More than 3 Hours,60%-79%,Yes,4,No,6th,2.75,2.75
Computer Science and Engineering,Male,4.42,4.44,"Lower middle (15,000-30,000)  ",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,6th,2.8,2.75
Computer Science and Engineering,Male,4.75,5,"Low (Below 15,000) ",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,5th,2.88,2.75
Computer Science and Engineering,Male,3.75,4.78,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,5th,2.75,2.75
Computer Science and Engineering,Male,3.5,5,"High (Above 50,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,5th,2.77,2.75
Computer Science and Engineering,Female,3.33,4.59,"High (Above 50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,3rd,2.75,2.75
Computer Science and Engineering,Male,4,4.89,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,3rd,2.75,2.75
Computer Science and Engineering,Male,3.67,4.77,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,3rd,2.83,2.75
Computer Science and Engineering,Male,4.25,5,"Upper middle (30,000-50,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.75,2.75
Computer Science and Engineering,Female,4.17,5,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.75,2.75
Computer Science and Engineering,Female,3.67,4.73,"Lower middle (15,000-30,000)",City,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.75,2.75
Computer Science and Engineering,Female,4.08,5,"High (Above 50,000) ",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.75,2.75
Computer Science and Engineering,Male,4.5,5,"Upper middle (30,000-50,000)",City,1,0-1 Hour,0-1 Hour,60%-79%,No,1,No,11th,2.27,2.79
Computer Science and Engineering,Male,3.5,4.83,"Lower middle (15,000-30,000)",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,2nd,2.81,2.81
Computer Science and Engineering,Male,3.25,4.36,"Low (Below 15,000)",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,2nd,2.81,2.81
Computer Science and Engineering,Female,3.34,4.69,"Lower middle (15,000-30,000) ",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,10th,2.96,2.84
Computer Science and Engineering,Female,4.08,5,"Upper middle (30,000-50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,9th,2.99,2.84
Computer Science and Engineering,Male,4.08,5,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,6th,2.94,2.84
Computer Science and Engineering,Male,3.42,4.33,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,6th,2.94,2.84
Computer Science and Engineering,Female,4.5,4.75,"Lower middle (15,000-30,000)",Village,3,More than 3 Hours,More than 3 Hours,60%-79%,No,2,No,8th,1.52,2.846
Computer Science and Engineering,Female,4.42,4.23,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.86,2.86
Computer Science and Engineering,Female,3.5,4.73,"Lower middle (15,000-30,000)",City,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.88,2.88
Computer Science and Engineering,Male,3.58,4.68,"Lower middle (15,000-30,000)",City,1,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.88,2.88
Computer Science and Engineering,Male,4.67,5,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,3,No,2nd,2.88,2.88
Computer Science and Engineering,Male,4.57,4.95,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,3,No,2nd,2.88,2.88
Computer Science and Engineering,Female,4.17,5,"Lower middle (15,000-30,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.88,2.88
Computer Science and Engineering,Female,3.75,4.69,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.89,2.89
Computer Science and Engineering,Male,4.25,5,"Upper middle (30,000-50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,9th,2.91,2.89
Computer Science and Engineering,Female,4.17,4.61,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,3,No,8th,2.89,2.89
Computer Science and Engineering,Female,4.67,5,"Lower middle (15,000-30,000)",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.93,2.89
Computer Science and Engineering,Female,3.83,5,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,3,No,8th,2.89,2.89
Computer Science and Engineering,Male,4.08,4.78,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,7th,2.92,2.89
Computer Science and Engineering,Male,3.58,4.88,"High (Above 50,000)",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,7th,2.92,2.89
Computer Science and Engineering,Male,4,4.7,"Low (Below 15,000)",Village,1,0-1 Hour,2-3 Hours,60%-79%,No,3,Yes,11th,2.46,2.9
Computer Science and Engineering,Male,4.58,4,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,10th,2.66,2.9
Computer Science and Engineering,Male,4.1,3.75,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,9th,2.57,2.9
Computer Science and Engineering,Male,3.33,4.61,"High (Above 50,000) ",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,9th,2.44,2.9
Computer Science and Engineering,Male,3.67,3.06,"High (Above 50,000)",Village,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,Yes,8th,2.55,2.9
Computer Science and Engineering,Male,4.17,4.61,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,8th,2.64,2.9
Computer Science and Engineering,Female,3.83,5,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,8th,2.6,2.9
Computer Science and Engineering,Male,4.67,4.75,"High (Above 50,000) ",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,7th,2.6,2.9
Computer Science and Engineering,Male,4.5,4.28,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,7th,2.6,2.9
Computer Science and Engineering,Male,4.33,5,"High (Above 50,000)",City,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.5,2.9
Computer Science and Engineering,Male,3.17,4.67,"High (Above 50,000)  ",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.41,2.9
Computer Science and Engineering,Female,4.5,4.56,"Upper middle (30,000-50,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.5,2.9
Computer Science and Engineering,Female,3.76,4,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.56,2.9
Computer Science and Engineering,Male,2.59,4.88,"High (Above 50,000) ",City,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.55,2.9
Computer Science and Engineering,Male,3.33,3.78,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.69,2.9
Computer Science and Engineering,Female,4.5,5,"Lower middle (15,000-30,000)",Village,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,Yes,5th,2.67,2.9
Computer Science and Engineering,Male,4.17,4.61,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,5th,2.5,2.9
Computer Science and Engineering,Female,4.42,5,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,3,No,3rd,2.67,2.9
Computer Science and Engineering,Male,3.85,5,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.42,2.9
Computer Science and Engineering,Male,3.92,5,"High (Above 50,000)",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.92,2.92
Computer Science and Engineering,Female,4,5,"High (Above 50,000) ",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,10th,2.42,2.94
Computer Science and Engineering,Male,3.33,4.89,"Low (Below 15,000)",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.94,2.94
Computer Science and Engineering,Male,3.92,4.73,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.94,2.94
Computer Science and Engineering,Female,3.42,4.68,"High (Above 50,000)  ",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.94,2.94
Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,4,Yes,8th,2.48,2.98
